wardname,lganame,statename
Gbethrome,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Gbethrome,Badagry,Lagos
Gbethrome,Badagry,Lagos
Kweme,Badagry,Lagos
Gbethrome,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Kweme,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Gbethrome,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Wesere,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Ajara Topa,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Awhanjigoh,Badagry,Lagos
Jegba Quarters,Badagry,Lagos
Ajara Topa,Badagry,Lagos
Ahovikoh,Badagry,Lagos
Posukoh,Badagry,Lagos
Awhanjigoh,Badagry,Lagos
Awhanjigoh,Badagry,Lagos
Ikoga,Badagry,Lagos
Ikoga,Badagry,Lagos
Ikoga,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Ajara Vetho,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Ikoga,Badagry,Lagos
Ikoga,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Aradagun-Mowo,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Aradagun-Mowo,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Araromi-Ale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Araromi-Ale,Badagry,Lagos
Ibereko,Badagry,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Araromi-Ale,Badagry,Lagos
Etegbin,Ojo,Lagos
Etegbin,Ojo,Lagos
Oto-Awori,Ojo,Lagos
Oto-Awori,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Taffi,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Taffi,Ojo,Lagos
Irewe,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Etegbin,Ojo,Lagos
Ilogbo- Elegba,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Oto-Awori,Ojo,Lagos
Ijanikin,Ojo,Lagos
Ilogbo- Elegba,Ojo,Lagos
Irewe,Ojo,Lagos
Sabo-Oniba,Ojo,Lagos
Ajangbadi,Ojo,Lagos
Kemberi,Ojo,Lagos
Okokomaiko,Ojo,Lagos
Igbo-Elerin,Ojo,Lagos
Taffi,Ojo,Lagos
I Irede,Amuwo Odofin,Lagos
I Irede,Amuwo Odofin,Lagos
I Irede,Amuwo Odofin,Lagos
I Irede,Amuwo Odofin,Lagos
